,School name,Department,Total research budget  ($),Departmental research budget  ($),Research outside department budget  ($)
105,Lehigh University,Physics,"$2,419,000","$2,186,000","$233,000"
106,"University of Missouri, Columbia",Physics & Astronomy,"$2,405,732","$2,405,732",$
107,Central Michigan University,Physics,"$2,200,000","$2,200,000",$
108,"State University of New York (SUNY), Univ. at Buffalo",Physics,"$2,077,327","$2,077,327",$
109,Ohio University,Physics and Astronomy,"$2,054,738","$2,054,738",$
110,Kent State University,Department of Physics,"$1,968,160","$1,968,160",$
111,New Mexico State University,Physics,"$1,850,000","$1,850,000",$
112,Georgetown University,Physics,"$1,797,278","$1,797,278",$
113,"Texas State University, San Marcos",Physics,"$1,787,200","$360,000","$1,427,200"
114,Utah State University,Physics,"$1,740,000","$1,740,000",$
115,North Dakota State University,Physics,"$1,734,000","$1,734,000",$
116,University of Vermont,Physics,"$1,616,040","$1,616,040",$
117,University of California Merced,Physics,"$1,603,000","$1,603,000",$
118,Wake Forest University,Physics,"$1,595,157","$1,177,040","$418,117"
119,Eastern Michigan University,Physics and Astronomy,"$1,493,000","$1,493,000",$
120,Oregon State University,Physics,"$1,482,349","$892,144","$590,205"
121,Portland State University,Physics,"$1,448,235","$1,448,235",$
122,Virginia Commonwealth University,Physics,"$1,425,184","$1,425,184",$
123,Oakland University,Physics,"$1,410,885","$1,410,885",$
124,"University of Maryland, Baltimore County",Physics Graduate Program,"$1,390,802","$1,390,802",$
125,University of Maine,Physics and Astronomy,"$1,272,555","$1,267,555","$5,000"
126,University of Denver,Physics,"$1,182,997","$1,182,997",$
127,Oklahoma State University,Physics,"$1,080,151","$1,080,151",$
128,Missouri University of Science & Technology,Physics,"$1,040,857","$1,009,514","$31,344"
129,Western Michigan University,Physics,"$1,005,329","$1,005,329",$
130,Florida Atlantic University,Physics,"$964,882","$964,882",$
131,Bowling Green State University,Physics & Astronomy,"$908,000","$908,000",$
132,San Diego State University,Physics,"$867,005","$867,005",$
133,Baylor University,Physics,"$843,036","$843,036",$
134,Southern Connecticut State University,Physics,"$828,500","$828,500",$
135,San Francisco State University,Physics & Astronomy,"$800,000","$800,000",$
136,"University of Colorado, Colorado Springs",Physics,"$657,383","$221,253","$436,130"
137,Columbia University,Department of Applied Physics and Applied Mathematics,"$642,214","$642,214",$
138,Bryn Mawr College,Physics,"$634,810","$634,810",$
139,Texas Christian University,Physics and Astronomy,"$613,000","$508,000","$105,000"
140,Creighton University,Physics,"$561,378","$561,378",$
141,Clark University,Physics,"$555,665","$555,665",$
142,Miami University,Physics,"$525,497","$525,497",$
143,"University of Massachusetts, Dartmouth",Physics,"$504,000","$304,000","$200,000"
144,Clarkson University,Physics,"$345,001","$345,001",$
145,East Carolina University,Physics,"$336,000","$336,000",$
146,"Indiana University, Bloomington",Astronomy,"$263,963","$183,620","$80,344"
147,Appalachian State University,Physics and Astronomy,"$179,877","$179,877",$
148,DePaul University,Physics,"$60,000","$20,000","$40,000"
149,Montana Tech,Geosciences & Engineering,"$13,059","$13,059",$
150,Stevens Institute of Technology,Physics And Engineering Physics,"$6,845","$6,845",$
151,Boston College,Physics,$,$,$
152,"California State University, Long Beach",Physics & Astronomy,$,$,$
153,Cornell University,Physics,$,$,$
154,Drexel University,Physics,$,$,$
155,Florida State University,Physics,$,$,$
156,Indiana University - Purdue University Indianapolis,Physics,$,$,$
157,Montana Tech of the University of Montana,Materials Science PhD Program,$,$,$
158,New Mexico Institute of Mining and Technology,Physics,$,$,$
159,Rice University,Smalley-Curl Institute,$,$,$
160,Seton Hall University,Physics,$,$,$
161,Stanford University,Physics,$,$,$
162,"State University of New York (SUNY), Albany",Physics,$,$,$
163,The Graduate Center - The City University of New York,Ph.D. Program in Physics,$,$,$
164,The University of North Carolina at Charlotte,Physics and Optical Science,$,$,$
165,University of Alaska Fairbanks,Physics,$,$,$
166,"University of California, Santa Cruz",Physics,$,$,$
167,University of Central Florida,"CREOL, The College of Optics & Photonics",$,$,$
168,University of Chicago,Astronomy & Astrophysics,$,$,$
169,University of Michigan,Applied Physics,$,$,$
170,University of Pennsylvania,Physics,$,$,$
171,University of South Carolina,Physics & Astronomy,$,$,$
172,University of South Dakota,Physics,$,$,$
173,Washington University in St. Louis,Physics,$,$,$
174,Wesleyan University,Physics,$,$,$
