,School name,Department,Total full-time faculty,Total full-time equivalent positions,Total full-time graduate students,Total postdocs,Total first-year graduate students,Total first-year female graduate students
145,Montana Tech of the University of Montana,Materials Science PhD Program,47,15,26,3,7,4
146,New Jersey Institute of Technology,Physics,22,30,25,4,7,2
147,Indiana University - Purdue University Indianapolis,Physics,14,14,24,1,5,1
148,University of Alaska Fairbanks,Physics,11,7,24,1,4,1
149,Appalachian State University,Physics and Astronomy,22,26,23,,12,2
150,New Mexico Institute of Mining and Technology,Physics,12,20,23,1,6,3
151,University of Denver,Physics,12,12,22,,3,1
152,Alabama A&M University,Physics,12,10,21,2,8,3
153,"Indiana University, Bloomington",Astronomy,10,12,20,1,5,3
154,Miami University,Physics,14,14,19,,9,
155,Northern Arizona University,Physics,12,12,19,,,
156,North Dakota State University,Physics,10,10,18,2,3,1
157,Texas Christian University,Physics and Astronomy,9,9,18,1,4,2
158,University of South Dakota,Physics,12,7,18,5,6,1
159,University of Vermont,Physics,13,14,18,2,1,
160,Creighton University,Physics,10,10,17,2,9,1
161,Virginia Commonwealth University,Physics,19,19,17,5,,
162,Clarkson University,Physics,8,8,16,,2,
163,Oakland University,Physics,15,15,16,1,4,
164,"University of Maryland, Baltimore County",Atmospheric Physics Graduate Program,22,22,16,5,5,2
165,Wesleyan University,Physics,12,12,16,8,2,1
166,Southern Methodist University,Physics,18,18,15,3,3,2
167,"University of Minnesota, Duluth",Physics,13,13,15,,7,2
168,Seton Hall University,Physics,7,7,13,,,
169,"University of Massachusetts, Dartmouth",Physics,11,11,13,,7,2
170,Clark University,Physics,6,6,11,1,4,
171,DePaul University,Physics,8,8,10,,5,2
172,Eastern Michigan University,Physics and Astronomy,11,13,10,,5,1
173,Southern Connecticut State University,Physics,7,7,8,1,3,2
174,Bryn Mawr College,Physics,6,6,7,,1,
175,Central Michigan University,Physics,12,15,7,4,3,1
