,School name,Department,Admission deadline  (domestic) Fall,Admission deadline  (domestic) Spring,Admission deadline  (international) Fall,Admission deadline  (international) Spring
86,"University of California, Santa Cruz",Physics,01/15/2020,,01/15/2020,
87,University of Cincinnati,Physics,01/15/2020 *,,01/15/2020,
88,University of Connecticut,Physics,01/15/2020,,01/15/2020,
89,"University of Illinois, Urbana-Champaign",Physics,01/15/2020 *,,01/15/2020,
90,"University of Massachusetts, Amherst",Physics,01/15/2020 *,,01/15/2020,
91,University of New Hampshire,Physics,01/15/2020 *,,01/15/2020,
92,University of Notre Dame,Physics,01/15/2020,,01/15/2020,
93,University of Oregon,Physics,01/15/2020,,01/15/2020,
94,University of Rochester,Physics & Astronomy,01/15/2020,,01/15/2020,
95,University of Utah,Physics,01/15/2020 *,,01/15/2020,
96,University of Wyoming,Physics & Astronomy,01/15/2020,,01/15/2020,
97,Utah State University,Physics,01/15/2020 *,,01/15/2020,
98,West Virginia University,Physics,01/15/2020 *,,01/15/2020,
99,George Washington University,Physics,01/15/2020 *,09/01/2019,01/15/2020,09/01/2019
100,University of Mississippi,Physics & Astronomy,01/15/2020,09/15/2019,01/15/2020,09/15/2019
101,"State University of New York (SUNY), Stony Brook",Physics & Astronomy,01/15/2020 *,10/15/2019,01/15/2020,10/15/2019
102,George Mason University,Physical Sciences,01/15/2020 *,10/31/2019,01/15/2020,10/31/2019
103,"State University of New York (SUNY), Albany",Physics,01/15/2020 *,11/15/2019,01/15/2020,11/15/2019
104,"University of Massachusetts, Lowell",Physics & Applied Physics,01/15/2020 *,11/15/2019,01/15/2020,11/15/2019
105,University of Arizona,Optical Sciences,01/15/2020 *,12/09/2019,01/15/2020,09/01/2019
106,University of Iowa,Physics & Astronomy,01/15/2020 *,01/15/2020,01/15/2020,
107,Old Dominion University,Physics,01/15/2020,09/15/2020,01/15/2020,09/15/2020
108,"University of Alabama, Tuscaloosa",Physics & Astronomy,01/15/2020 *,11/01/2020,01/15/2020,06/01/2020
109,Wake Forest University,Physics,01/15/2020 *,11/01/2020,01/15/2020,10/01/2020
110,University of South Carolina,Physics & Astronomy,01/15/2020,11/15/2020,01/15/2020,11/15/2020
111,Arizona State University,Physics & Astronomy,01/31/2020 *,,01/31/2020,
112,"University of Nebraska, Lincoln",Nebraska Center for Materials & Nanoscience,01/31/2020 *,,01/31/2020,
113,"University of Nebraska, Lincoln",Physics & Astronomy,01/31/2020 *,09/30/2019,01/31/2020,09/30/2019
114,Wesleyan University,Physics,01/31/2020 *,09/30/2019,01/31/2020,09/30/2019
115,Kent State University,Department of Physics,01/31/2020 *,08/31/2020,01/31/2020,08/31/2020
116,Illinois Institute of Technology,Physics,01/31/2020 *,10/01/2020,01/31/2020,10/01/2020
117,University of Denver,Physics,02/01/2020,,01/04/2020,
118,Colorado School of Mines,Physics,02/01/2020 *,,01/05/2020,
119,University of Florida,Physics,02/01/2020,,01/15/2020,
120,Clark University,Physics,02/01/2020,,02/01/2020,
121,Colorado State University,Physics,02/01/2020 *,,02/01/2020,
122,Michigan Technological University,Physics,02/01/2020,,02/01/2020,
123,Oklahoma State University,Physics,02/01/2020,,02/01/2020,
124,"State University of New York (SUNY), Univ. at Buffalo",Physics,02/01/2020 *,,02/01/2020,
125,University of Oklahoma,Physics & Astronomy,02/01/2020 *,,02/01/2020,
126,University of South Dakota,Physics,02/01/2020,,02/01/2020,
127,"University of Texas, Arlington",Physics,02/01/2020 *,,02/01/2020,
128,Stevens Institute of Technology,Physics And Engineering Physics,02/01/2020,09/02/2019,02/01/2020,09/02/2019
129,"University of Nevada, Reno",Physics,02/01/2020 *,11/01/2019,02/01/2020,10/01/2019
130,University of Kentucky,Physics & Astronomy,02/01/2020 *,12/01/2019,02/01/2020,09/01/2019
131,University of Maine,Physics and Astronomy,02/10/2020 *,,02/10/2020,
132,Florida International University,Physics,02/15/2020 *,,02/15/2020,
133,"University of Illinois, Chicago",Physics,02/15/2020 *,,02/15/2020,
134,Miami University,Physics,02/15/2020 *,11/01/2019,02/15/2020,10/15/2019
135,"State University of New York (SUNY), Binghamton","Physics, Applied Physics & Astronomy",02/15/2020 *,02/15/2020,02/15/2020,02/15/2020
136,New Mexico State University,Physics,02/15/2020 *,09/01/2020,02/15/2020,11/01/2020
137,Bowling Green State University,Physics & Astronomy,02/28/2020,,02/28/2020,
138,San Diego State University,Physics,02/28/2020 *,11/01/2019,09/01/2020,11/01/2019
139,East Carolina University,Physics,03/01/2020 *,,03/01/2020,
140,The University of North Carolina at Charlotte,Physics and Optical Science,03/01/2020,10/01/2019,03/01/2020,10/01/2019
141,"University of Missouri, Columbia",Physics & Astronomy,03/01/2020,10/01/2019,03/01/2020,10/01/2019
142,University of Vermont,Physics,03/01/2020 *,11/15/2019,03/01/2020,11/15/2019
