,School name,Department,Departmental research,Research type
1023,New Mexico State University,Physics,Geophysics,theoretical
1024,University of Alaska Fairbanks,Physics,Geophysics,theoretical
1025,"University of Colorado, Boulder",Physics,Geophysics,theoretical
1026,University of Michigan,Applied Physics,Geophysics,theoretical
1027,New Jersey Institute of Technology,Physics,Geospace Research,experimental
1028,Rice University,Smalley-Curl Institute,Graphene and 2D Systems,experimental
1029,Rice University,Smalley-Curl Institute,Graphene and 2D Systems,theoretical
1030,Fudan University,Physics,"Gravitation, Cosmology and Black Hole Physics",theoretical
1031,Wake Forest University,Physics,Gravitational,theoretical
1032,Pennsylvania State University,Physics,Gravitational wave astronomy,experimental
1033,New Mexico State University,Physics,Hadronic Physics,theoretical
1034,Georgetown University,Physics,Hard Condensed Matter Physics,experimental
1035,Georgetown University,Physics,Hard condensed-matter physics,theoretical
1036,Rice University,Smalley-Curl Institute,Heavy Fermion Superconductors,experimental
1037,Rice University,Smalley-Curl Institute,Heavy Fermion Superconductors,theoretical
1038,University of Michigan,Applied Physics,Heliophysics and Space Weather,experimental
1039,George Mason University,Physical Sciences,Heliophysics and Space Weather,theoretical
1040,University of Michigan,Applied Physics,Heliophysics and Space Weather,theoretical
1041,University of Houston,Physics,High Energy,theoretical
1042,University of New Hampshire,Physics,High Energy Astrophysics,experimental
1043,"University of Maryland, College Park",Astronomy,High Energy Astrophysics,theoretical
1044,University of New Hampshire,Physics,High Energy Astrophysics and Gravitational Wave Astrophysics,theoretical
1045,Princeton University,Physics,High Energy Experiment,experimental
1046,"University of Wisconsin, Madison",Physics,High Energy Experiment,experimental
1047,University of Houston,Physics,High Energy Heavy Ion Physics,experimental
1048,Case Western Reserve University,Physics,High Energy Particle Physics,experimental
1049,Boston University,Physics,High Energy Physics,experimental
1050,College of William and Mary,Physics,High Energy Physics,experimental
1051,Columbia University,Physics,High Energy Physics,experimental
1052,Cornell University,Physics,High Energy Physics,experimental
1053,Duke University,Physics,High Energy Physics,experimental
1054,Florida State University,Physics,High Energy Physics,experimental
1055,George Mason University,Physical Sciences,High Energy Physics,experimental
1056,Harvard University,Physics,High Energy Physics,experimental
1057,"Indiana University, Bloomington",Physics,High Energy Physics,experimental
1058,Iowa State University,Physics and Astronomy,High Energy Physics,experimental
1059,Kansas State University,Physics,High Energy Physics,experimental
1060,Lehigh University,Physics,High Energy Physics,experimental
1061,Northern Illinois University,Physics,High Energy Physics,experimental
1062,Ohio State University,Physics,High Energy Physics,experimental
1063,Oklahoma State University,Physics,High Energy Physics,experimental
1064,"Rutgers University, New Brunswick",Physics & Astronomy,High Energy Physics,experimental
1065,Southern Connecticut State University,Physics,High Energy Physics,experimental
1066,"State University of New York (SUNY), Stony Brook",Physics & Astronomy,High Energy Physics,experimental
1067,"State University of New York (SUNY), Univ. at Buffalo",Physics,High Energy Physics,experimental
1068,Texas Tech University,Physics,High Energy Physics,experimental
1069,"University of Alabama, Tuscaloosa",Physics & Astronomy,High Energy Physics,experimental
1070,University of Arizona,Physics,High Energy Physics,experimental
1071,"University of California, Berkeley",Physics,High Energy Physics,experimental
1072,"University of California, San Diego",Physics,High Energy Physics,experimental
1073,University of Cincinnati,Physics,High Energy Physics,experimental
1074,"University of Colorado, Boulder",Physics,High Energy Physics,experimental
1075,"University of Illinois, Chicago",Physics,High Energy Physics,experimental
1076,"University of Illinois, Urbana-Champaign",Physics,High Energy Physics,experimental
1077,University of Kansas,Physics & Astronomy,High Energy Physics,experimental
1078,University of Michigan,Applied Physics,High Energy Physics,experimental
1079,"University of Minnesota, Duluth",Physics,High Energy Physics,experimental
1080,University of Mississippi,Physics & Astronomy,High Energy Physics,experimental
1081,"University of Nebraska, Lincoln",Physics & Astronomy,High Energy Physics,experimental
1082,"University of Nebraska, Lincoln",Physics & Astronomy,High Energy Physics,experimental
1083,"University of Nebraska, Lincoln",Physics & Astronomy,High Energy Physics,experimental
1084,"University of Nebraska, Lincoln",Physics & Astronomy,High Energy Physics,experimental
1085,University of Notre Dame,Physics,High Energy Physics,experimental
1086,University of Oklahoma,Physics & Astronomy,High Energy Physics,experimental
1087,University of Oregon,Physics,High Energy Physics,experimental
1088,University of Rochester,Physics & Astronomy,High Energy Physics,experimental
1089,University of South Carolina,Physics & Astronomy,High Energy Physics,experimental
1090,"University of Tennessee, Knoxville",Physics & Astronomy,High Energy Physics,experimental
1091,University of Texas at Austin,Physics,High Energy Physics,experimental
1092,"University of Texas, Arlington",Physics,High Energy Physics,experimental
1093,University of Virginia,Physics,High Energy Physics,experimental
1094,University of Washington,Physics,High Energy Physics,experimental
1095,Vanderbilt University,Physics & Astronomy,High Energy Physics,experimental
1096,Washington University in St. Louis,Physics,High Energy Physics,experimental
1097,"California State University, Long Beach",Physics & Astronomy,High Energy Physics,theoretical
1098,College of William and Mary,Physics,High Energy Physics,theoretical
1099,Columbia University,Physics,High Energy Physics,theoretical
1100,Cornell University,Physics,High Energy Physics,theoretical
1101,Florida State University,Physics,High Energy Physics,theoretical
1102,Harvard University,Physics,High Energy Physics,theoretical
1103,"Indiana University, Bloomington",Physics,High Energy Physics,theoretical
1104,Iowa State University,Physics and Astronomy,High Energy Physics,theoretical
1105,Lehigh University,Physics,High Energy Physics,theoretical
1106,Northern Illinois University,Physics,High Energy Physics,theoretical
1107,Ohio State University,Physics,High Energy Physics,theoretical
1108,Oklahoma State University,Physics,High Energy Physics,theoretical
1109,"State University of New York (SUNY), Univ. at Buffalo",Physics,High Energy Physics,theoretical
1110,"University of Alabama, Tuscaloosa",Physics & Astronomy,High Energy Physics,theoretical
1111,University of Arizona,Physics,High Energy Physics,theoretical
1112,"University of California, San Diego",Physics,High Energy Physics,theoretical
1113,"University of California, Santa Barbara",Physics,High Energy Physics,theoretical
1114,"University of Colorado, Boulder",Physics,High Energy Physics,theoretical
1115,University of Connecticut,Physics,High Energy Physics,theoretical
1116,"University of Illinois, Chicago",Physics,High Energy Physics,theoretical
1117,"University of Illinois, Urbana-Champaign",Physics,High Energy Physics,theoretical
1118,University of Minnesota,Physics,High Energy Physics,theoretical
1119,"University of Nebraska, Lincoln",Physics & Astronomy,High Energy Physics,theoretical
1120,University of New Hampshire,Physics,High Energy Physics,theoretical
1121,University of Oklahoma,Physics & Astronomy,High Energy Physics,theoretical
1122,University of Oregon,Physics,High Energy Physics,theoretical
1123,University of Rochester,Physics & Astronomy,High Energy Physics,theoretical
1124,University of Southern California,Physics & Astronomy,High Energy Physics,theoretical
1125,University of Virginia,Physics,High Energy Physics,theoretical
1126,Utah State University,Physics,High Energy Physics,theoretical
1127,Vanderbilt University,Physics & Astronomy,High Energy Physics,theoretical
1128,Washington University in St. Louis,Physics,High Energy Physics,theoretical
1129,Colorado State University,Physics,High Energy Physics and Particle Astrophysics,experimental
1130,Northeastern University,Physics,High Energy Theory,theoretical
1131,"University of Wisconsin, Madison",Physics,High Energy Theory,theoretical
1132,University of Houston,Physics,"High Energy, Particle and Astroparticle Physics",experimental
1133,Princeton University,Physics,High Enery Theory,theoretical
1134,Stevens Institute of Technology,Physics And Engineering Physics,High Sensitivity Laser Spectroscopy,experimental
1135,New Mexico State University,Physics,High-Energy Nuclear Physics,experimental
1136,Oakland University,Physics,High-pressure Physics,experimental
1137,University of Maine,Physics and Astronomy,High-Resolution Microscopy,experimental
1138,Harvard University,Physics,History & Philosophy of Physics/Science,theoretical
1139,"University of California, Irvine",Physics,History & Philosophy of Physics/Science,theoretical
1140,"University of Colorado, Boulder",Physics,History & Philosophy of Physics/Science,theoretical
1141,University of Michigan,Applied Physics,History & Philosophy of Physics/Science,theoretical
1142,University of Minnesota,Physics,History & Philosophy of Physics/Science,theoretical
1143,Montana Tech,Geosciences & Engineering,Hydrogeological Engineering,experimental
1144,University of Maine,Physics and Astronomy,Hyperspectral Remote Sensing Physics,experimental
1145,"Texas State University, San Marcos",Physics,III-nitride semiconductors,experimental
1146,University of Arizona,Optical Sciences,Image Science,experimental
1147,University of Arizona,Optical Sciences,Image Science,theoretical
1148,Oakland University,Physics,Imaging,experimental
1149,Case Western Reserve University,Physics,Imaging Physics,theoretical
1150,University of Central Florida,"CREOL, The College of Optics & Photonics","Imaging, Sensing, and Display",experimental
1151,"State University of New York (SUNY), Albany",Physics,Information Physics,theoretical
1152,University of Cincinnati,Physics,Interdisciplinary Research,experimental
1153,Stevens Institute of Technology,Physics And Engineering Physics,Ion Surface Interactions,theoretical
1154,"University of California, Riverside",Physics & Astronomy,Joint Programs,experimental
1155,Stevens Institute of Technology,Physics And Engineering Physics,Laser Matter Interactions,theoretical
1156,"University of Maryland, Baltimore County",Atmospheric Physics Graduate Program,Light scattering and radiative transfer,theoretical
1157,Case Western Reserve University,Physics,Liquid Crystals,theoretical
1158,Case Western Reserve University,Physics,Liquid Crystals and Complex Fluids,experimental
1159,University of Maine,Physics and Astronomy,Liquid Crystals and Complex Fluids,experimental
1160,Cornell University,Physics,Low Temperature Physics,experimental
1161,Harvard University,Physics,Low Temperature Physics,experimental
1162,Oakland University,Physics,Low Temperature Physics,experimental
1163,San Diego State University,Physics,Low Temperature Physics,experimental
1164,"State University of New York (SUNY), Univ. at Buffalo",Physics,Low Temperature Physics,experimental
1165,University of Cincinnati,Physics,Low Temperature Physics,experimental
1166,"University of Colorado, Boulder",Physics,Low Temperature Physics,experimental
1167,University of Florida,Physics,Low Temperature Physics,experimental
1168,"University of Massachusetts, Amherst",Physics,Low Temperature Physics,experimental
1169,University of Utah,Physics,Low Temperature Physics,experimental
1170,"California State University, Long Beach",Physics & Astronomy,Low Temperature Physics,theoretical
1171,North Dakota State University,Physics,Macromolecular Crowding and Depletion,theoretical
1172,Oakland University,Physics,Magnetic Resonance Imaging (MRI),experimental
1173,University of Wisconsin,Medical Physics Program,Magnetic Resonance Imaging and Spectroscopy,experimental
1174,University of Wisconsin,Medical Physics Program,Magnetic Resonance Imaging and Spectroscopy,theoretical
1175,"University of Massachusetts, Dartmouth",Physics,Marine Science/Oceanography,experimental
1176,University of Michigan,Applied Physics,Marine Science/Oceanography,experimental
1177,"University of Minnesota, Duluth",Physics,Marine Science/Oceanography,experimental
1178,"University of Massachusetts, Dartmouth",Physics,Marine Science/Oceanography,theoretical
1179,University of Michigan,Applied Physics,Marine Science/Oceanography,theoretical
1180,"University of Minnesota, Duluth",Physics,Marine Science/Oceanography,theoretical
1181,University of Maine,Physics and Astronomy,Material Science,experimental
1182,Central Michigan University,Physics,Materials characterization,experimental
1183,Montana Tech of the University of Montana,Materials Science PhD Program,"Materials for Energy Storage, Conversion, and Conservation",experimental
1184,"University of California, Santa Cruz",Physics,Materials Group,experimental
1185,Michigan Technological University,Physics,Materials Physics,experimental
1186,"University of California, Santa Cruz",Physics,Materials Program,theoretical
1187,New Mexico State University,Physics,Materials Science,experimental
1188,New Mexico State University,Physics,Materials Science,theoretical
1189,Montana Tech,Geosciences & Engineering,Materials Science & Engineering,experimental
1190,Alabama A&M University,Physics,"Materials Science, Metallurgy",experimental
1191,Columbia University,Department of Applied Physics and Applied Mathematics,"Materials Science, Metallurgy",experimental
1192,DePaul University,Physics,"Materials Science, Metallurgy",experimental
1193,Harvard University,Physics,"Materials Science, Metallurgy",experimental
1194,Indiana University - Purdue University Indianapolis,Physics,"Materials Science, Metallurgy",experimental
1195,New Jersey Institute of Technology,Physics,"Materials Science, Metallurgy",experimental
1196,Oakland University,Physics,"Materials Science, Metallurgy",experimental
1197,Old Dominion University,Physics,"Materials Science, Metallurgy",experimental
1198,Pennsylvania State University,Physics,"Materials Science, Metallurgy",experimental
1199,Portland State University,Physics,"Materials Science, Metallurgy",experimental
1200,"State University of New York (SUNY), Albany",Physics,"Materials Science, Metallurgy",experimental
1201,"State University of New York (SUNY), Univ. at Buffalo",Physics,"Materials Science, Metallurgy",experimental
1202,"Texas State University, San Marcos",Physics,"Materials Science, Metallurgy",experimental
1203,University of Alabama at Birmingham,Physics,"Materials Science, Metallurgy",experimental
1204,"University of Colorado, Boulder",Physics,"Materials Science, Metallurgy",experimental
1205,University of Michigan,Applied Physics,"Materials Science, Metallurgy",experimental
1206,University of Michigan,Applied Physics,"Materials Science, Metallurgy",experimental
1207,"University of Nebraska, Lincoln",Nebraska Center for Materials & Nanoscience,"Materials Science, Metallurgy",experimental
1208,University of Utah,Physics,"Materials Science, Metallurgy",experimental
1209,University of Vermont,Physics,"Materials Science, Metallurgy",experimental
1210,University of Wyoming,Physics & Astronomy,"Materials Science, Metallurgy",experimental
1211,West Virginia University,Physics,"Materials Science, Metallurgy",experimental
1212,Alabama A&M University,Physics,"Materials Science, Metallurgy",theoretical
1213,Columbia University,Department of Applied Physics and Applied Mathematics,"Materials Science, Metallurgy",theoretical
1214,Montana Tech,Geosciences & Engineering,"Materials Science, Metallurgy",theoretical
1215,Montana Tech of the University of Montana,Materials Science PhD Program,"Materials Science, Metallurgy",theoretical
1216,Oakland University,Physics,"Materials Science, Metallurgy",theoretical
1217,"State University of New York (SUNY), Univ. at Buffalo",Physics,"Materials Science, Metallurgy",theoretical
1218,University of Michigan,Applied Physics,"Materials Science, Metallurgy",theoretical
1219,"University of Wisconsin, Madison",Physics,"Materials Science, Metallurgy",theoretical
1220,University of Wyoming,Physics & Astronomy,"Materials Science, Metallurgy",theoretical
1221,Virginia Commonwealth University,Physics,"Materials Science, Metallurgy",theoretical
1222,Montana Tech of the University of Montana,Materials Science PhD Program,"Materials synthesis, processing, amd fabrication",experimental
1223,"Rutgers University, New Brunswick",Physics & Astronomy,Mathematical and statistical physics,theoretical
1224,Princeton University,Physics,Mathematical Physics,theoretical
1225,University of Iowa,Physics & Astronomy,Mathematical Physics,theoretical
1226,Utah State University,Physics,Mathematical Physics,theoretical
1227,Oakland University,Physics,Mechanics,experimental
1228,University of Michigan,Applied Physics,Mechanics,experimental
1229,"University of Nebraska, Lincoln",Nebraska Center for Materials & Nanoscience,Mechanics,experimental
1230,Eastern Michigan University,Physics and Astronomy,Mechanics,theoretical
1231,George Mason University,Physical Sciences,Mechanics,theoretical
1232,"State University of New York (SUNY), Univ. at Buffalo",Physics,Mechanics,theoretical
1233,University of Michigan,Applied Physics,Mechanics,theoretical
1234,"University of Nebraska, Lincoln",Nebraska Center for Materials & Nanoscience,Mechanics,theoretical
1235,University of Houston,Physics,Medical Imaging Physics,experimental
1236,University of Houston,Physics,Medical Imaging Physics,theoretical
1237,Columbia University,Department of Applied Physics and Applied Mathematics,"Medical, Health Physics",experimental
1238,Creighton University,Physics,"Medical, Health Physics",experimental
1239,Duke University,Physics,"Medical, Health Physics",experimental
1240,East Carolina University,Physics,"Medical, Health Physics",experimental
1241,Harvard University,Physics,"Medical, Health Physics",experimental
1242,Oakland University,Physics,"Medical, Health Physics",experimental
1243,San Diego State University,Physics,"Medical, Health Physics",experimental
1244,Southern Connecticut State University,Physics,"Medical, Health Physics",experimental
1245,"University of California, Irvine",Physics,"Medical, Health Physics",experimental
1246,University of Central Florida,Physics,"Medical, Health Physics",experimental
1247,University of Cincinnati,Physics,"Medical, Health Physics",experimental
1248,University of Iowa,Physics & Astronomy,"Medical, Health Physics",experimental
1249,"University of Massachusetts, Lowell",Physics & Applied Physics,"Medical, Health Physics",experimental
1250,University of Michigan,Applied Physics,"Medical, Health Physics",experimental
1251,"University of Missouri, Columbia",Physics & Astronomy,"Medical, Health Physics",experimental
1252,University of South Florida,Physics,"Medical, Health Physics",experimental
1253,University of Utah,Physics,"Medical, Health Physics",experimental
1254,College of William and Mary,Physics,"Medical, Health Physics",theoretical
1255,Oakland University,Physics,"Medical, Health Physics",theoretical
1256,"University of California, Irvine",Physics,"Medical, Health Physics",theoretical
1257,"University of California, Irvine",Physics,"Medical, Health Physics",theoretical
1258,University of Michigan,Applied Physics,"Medical, Health Physics",theoretical
1259,University of South Florida,Physics,"Medical, Health Physics",theoretical
1260,"University of Texas, Arlington",Physics,"Medical, Health Physics",theoretical
1261,"University of Wisconsin, Milwaukee",Physics,"Medical, Health Physics",theoretical
1262,University of Houston,Physics,Medium Energy & Heavy Ion Physics,theoretical
1263,Montana Tech,Geosciences & Engineering,Metallurgical / Mineral Processing,experimental
1264,Rice University,Smalley-Curl Institute,Metamaterial Lenses,experimental
1265,Rice University,Smalley-Curl Institute,Metamaterial Lenses,theoretical
1266,"University of Massachusetts, Lowell",Physics & Applied Physics,metamaterials,theoretical
1267,"Texas State University, San Marcos",Physics,Micro mechanics,experimental
1268,The University of North Carolina at Charlotte,Physics and Optical Science,Micro-optics and nanophotonics,experimental
1269,The University of North Carolina at Charlotte,Physics and Optical Science,Micro-optics and nanophotonics,theoretical
1270,"University of Maryland, College Park",Astronomy,Millimeter-Wave Astronomy,experimental
1271,Montana Tech,Geosciences & Engineering,Mining Engineering,experimental
1272,Rice University,Smalley-Curl Institute,Modeling Quantum Criticality,experimental
1273,Rice University,Smalley-Curl Institute,Modeling Quantum Criticality,theoretical
1274,East Carolina University,Physics,Molecular Biophysics,experimental
1275,Rice University,Smalley-Curl Institute,Motor Protein Dynamics,experimental
1276,Rice University,Smalley-Curl Institute,Motor Protein Dynamics,theoretical
1277,North Dakota State University,Physics,Multiscale Modeling of Soft Nanomaterials,theoretical
1278,Boston College,Physics,Nano Science and Technology,experimental
1279,Bowling Green State University,Physics & Astronomy,Nano Science and Technology,experimental
1280,"California State University, Long Beach",Physics & Astronomy,Nano Science and Technology,experimental
1281,Clemson University,Physics & Astronomy,Nano Science and Technology,experimental
1282,Cornell University,Physics,Nano Science and Technology,experimental
1283,Creighton University,Physics,Nano Science and Technology,experimental
1284,Duke University,Physics,Nano Science and Technology,experimental
1285,Emory University,Physics,Nano Science and Technology,experimental
1286,Georgetown University,Physics,Nano Science and Technology,experimental
1287,Harvard University,Physics,Nano Science and Technology,experimental
1288,New Mexico State University,Physics,Nano Science and Technology,experimental
1289,Oakland University,Physics,Nano Science and Technology,experimental
1290,Portland State University,Physics,Nano Science and Technology,experimental
1291,San Francisco State University,Physics & Astronomy,Nano Science and Technology,experimental
1292,Seton Hall University,Physics,Nano Science and Technology,experimental
1293,Southern Connecticut State University,Physics,Nano Science and Technology,experimental
1294,Texas Christian University,Physics and Astronomy,Nano Science and Technology,experimental
1295,"Texas State University, San Marcos",Physics,Nano Science and Technology,experimental
1296,Texas Tech University,Physics,Nano Science and Technology,experimental
1297,University of Alabama at Birmingham,Physics,Nano Science and Technology,experimental
1298,University of California Merced,Physics,Nano Science and Technology,experimental
1299,"University of California, Riverside",Physics & Astronomy,Nano Science and Technology,experimental
1300,University of Cincinnati,Physics,Nano Science and Technology,experimental
1301,"University of Massachusetts, Amherst",Physics,Nano Science and Technology,experimental
1302,"University of Massachusetts, Lowell",Physics & Applied Physics,Nano Science and Technology,experimental
1303,University of Michigan,Applied Physics,Nano Science and Technology,experimental
1304,University of Utah,Physics,Nano Science and Technology,experimental
1305,University of Wyoming,Physics & Astronomy,Nano Science and Technology,experimental
1306,Wake Forest University,Physics,Nano Science and Technology,experimental
1307,West Virginia University,Physics,Nano Science and Technology,experimental
1308,Boston College,Physics,Nano Science and Technology,theoretical
1309,Bowling Green State University,Physics & Astronomy,Nano Science and Technology,theoretical
1310,Clarkson University,Physics,Nano Science and Technology,theoretical
1311,Georgetown University,Physics,Nano Science and Technology,theoretical
1312,New Mexico State University,Physics,Nano Science and Technology,theoretical
1313,Oakland University,Physics,Nano Science and Technology,theoretical
1314,Portland State University,Physics,Nano Science and Technology,theoretical
1315,University of California Merced,Physics,Nano Science and Technology,theoretical
1316,University of Michigan,Applied Physics,Nano Science and Technology,theoretical
1317,Virginia Commonwealth University,Physics,Nano Science and Technology,theoretical
1318,Florida International University,Physics,Nano-biophysics,experimental
1319,Rice University,Smalley-Curl Institute,Nanocatalysts for Clean Energy,experimental
1320,Rice University,Smalley-Curl Institute,Nanocatalysts for Clean Energy,theoretical
1321,Rice University,Smalley-Curl Institute,Nanodevices for Neuroscience,experimental
1322,Rice University,Smalley-Curl Institute,Nanodevices for Neuroscience,theoretical
1323,Rice University,Smalley-Curl Institute,Nanoparticle-Based Theranostics,experimental
1324,Rice University,Smalley-Curl Institute,Nanoparticle-Based Theranostics,theoretical
1325,Stevens Institute of Technology,Physics And Engineering Physics,Nanophotonics,experimental
1326,"State University of New York (SUNY), Univ. at Buffalo",Physics,Nanophysics,experimental
1327,University of Houston,Physics,Nanophysics,experimental
1328,Duke University,Physics,Nanophysics,theoretical
1329,"State University of New York (SUNY), Univ. at Buffalo",Physics,Nanophysics,theoretical
1330,University of Houston,Physics,Nanophysics,theoretical
1331,The University of North Carolina at Charlotte,Physics and Optical Science,Nanoscale imaging and spectroscopy,experimental
1332,The University of North Carolina at Charlotte,Physics and Optical Science,Nanoscale imaging and spectroscopy,theoretical
1333,Appalachian State University,Physics and Astronomy,Nanoscience and Condensed Matter Physics,experimental
1334,Arizona State University,Physics & Astronomy,Nanoscience and Materials Physics,experimental
1335,Arizona State University,Physics & Astronomy,Nanoscience and Materials Physics,theoretical
1336,Case Western Reserve University,Physics,Nanoscopic Physics,experimental
1337,Northeastern University,Physics,Network Science,theoretical
1338,University of Houston,Physics,Network Science,theoretical
1339,Florida International University,Physics,Neuroimaging,experimental
1340,"University of California, Santa Cruz",Physics,NeuroProject,experimental
1341,Virginia Tech,Physics,Neuroscience and Medical Physics,experimental
1342,George Mason University,Physical Sciences,Neuroscience/Neuro Physics,experimental
1343,Georgia State University,Physics & Astronomy,Neuroscience/Neuro Physics,experimental
1344,University of Michigan,Applied Physics,Neuroscience/Neuro Physics,experimental
1345,Washington University in St. Louis,Physics,Neuroscience/Neuro Physics,experimental
1346,George Mason University,Physical Sciences,Neuroscience/Neuro Physics,theoretical
1347,University of Michigan,Applied Physics,Neuroscience/Neuro Physics,theoretical
1348,"University of Wisconsin, Madison",Physics,Neutrino and Astroparticle Experiment,experimental
1349,"University of Wisconsin, Madison",Physics,Neutrino and Astroparticle Theory,theoretical
1350,New Mexico State University,Physics,Neutrino physics,experimental
1351,University of Central Florida,"CREOL, The College of Optics & Photonics",Nonlinear & Quantum Optics,experimental
1352,University of Central Florida,"CREOL, The College of Optics & Photonics",Nonlinear & Quantum Optics,theoretical
1353,University of Texas at Austin,Physics,Nonlinear Dynamics,experimental
1354,University of Texas at Austin,Physics,Nonlinear Dynamics,theoretical
1355,Baylor University,Physics,Nonlinear Dynamics and Complex Systems,experimental
1356,Clark University,Physics,Nonlinear Dynamics and Complex Systems,experimental
1357,Duke University,Physics,Nonlinear Dynamics and Complex Systems,experimental
1358,Eastern Michigan University,Physics and Astronomy,Nonlinear Dynamics and Complex Systems,experimental
1359,George Mason University,Physical Sciences,Nonlinear Dynamics and Complex Systems,experimental
1360,Georgia Institute of Technology,Physics,Nonlinear Dynamics and Complex Systems,experimental
1361,Harvard University,Physics,Nonlinear Dynamics and Complex Systems,experimental
1362,University of Michigan,Applied Physics,Nonlinear Dynamics and Complex Systems,experimental
1363,College of William and Mary,Physics,Nonlinear Dynamics and Complex Systems,theoretical
1364,DePaul University,Physics,Nonlinear Dynamics and Complex Systems,theoretical
1365,Emory University,Physics,Nonlinear Dynamics and Complex Systems,theoretical
1366,George Mason University,Physical Sciences,Nonlinear Dynamics and Complex Systems,theoretical
1367,Georgia Institute of Technology,Physics,Nonlinear Dynamics and Complex Systems,theoretical
1368,Harvard University,Physics,Nonlinear Dynamics and Complex Systems,theoretical
1369,Oakland University,Physics,Nonlinear Dynamics and Complex Systems,theoretical
1370,Texas Christian University,Physics and Astronomy,Nonlinear Dynamics and Complex Systems,theoretical
1371,University of Alaska Fairbanks,Physics,Nonlinear Dynamics and Complex Systems,theoretical
1372,University of California Merced,Physics,Nonlinear Dynamics and Complex Systems,theoretical
1373,"University of California, San Diego",Physics,Nonlinear Dynamics and Complex Systems,theoretical
1374,University of Michigan,Applied Physics,Nonlinear Dynamics and Complex Systems,theoretical
1375,Utah State University,Physics,Nonlinear Dynamics and Complex Systems,theoretical
1376,"University of California, Berkeley",Physics,"Nonlinear Dynamics, Plasma and Beam Physics, and Complex Systems",experimental
1377,"University of California, Berkeley",Physics,"Nonlinear Dynamics, Plasma and Beam Physics, and Complex Systems",theoretical
1378,The University of North Carolina at Charlotte,Physics and Optical Science,Novel light-matter interactions,experimental
1379,The University of North Carolina at Charlotte,Physics and Optical Science,Novel light-matter interactions,theoretical
1380,Kent State University,Department of Physics,Nuclear and Particle Physics,experimental
1381,Virginia Tech,Physics,Nuclear and Particle Physics,experimental
1382,Kent State University,Department of Physics,Nuclear and Particle Physics,theoretical
1383,University of Michigan,Applied Physics,Nuclear Engineering,experimental
1384,Oakland University,Physics,Nuclear Magnetic Resonance (NMR),experimental
1385,University of Wisconsin,Medical Physics Program,"Nuclear Medicine, PET, Molecular Imaging",experimental
1386,University of Wisconsin,Medical Physics Program,"Nuclear Medicine, PET, Molecular Imaging",theoretical
1387,Carnegie Mellon University,Physics,Nuclear Physics,experimental
1388,College of William and Mary,Physics,Nuclear Physics,experimental
1389,Columbia University,Physics,Nuclear Physics,experimental
1390,Creighton University,Physics,Nuclear Physics,experimental
1391,DePaul University,Physics,Nuclear Physics,experimental
1392,Duke University,Physics,Nuclear Physics,experimental
1393,Florida State University,Physics,Nuclear Physics,experimental
1394,George Washington University,Physics,Nuclear Physics,experimental
1395,Georgia State University,Physics & Astronomy,Nuclear Physics,experimental
1396,Harvard University,Physics,Nuclear Physics,experimental
1397,"Indiana University, Bloomington",Physics,Nuclear Physics,experimental
1398,Iowa State University,Physics and Astronomy,Nuclear Physics,experimental
1399,Massachusetts Institute of Technology,Physics,Nuclear Physics,experimental
1400,New Mexico Institute of Mining and Technology,Physics,Nuclear Physics,experimental
1401,Ohio State University,Physics,Nuclear Physics,experimental
1402,Ohio University,Physics and Astronomy,Nuclear Physics,experimental
1403,Old Dominion University,Physics,Nuclear Physics,experimental
1404,Purdue Universty,Physics,Nuclear Physics,experimental
1405,"Rutgers University, New Brunswick",Physics & Astronomy,Nuclear Physics,experimental
1406,Southern Connecticut State University,Physics,Nuclear Physics,experimental
1407,"State University of New York (SUNY), Stony Brook",Physics & Astronomy,Nuclear Physics,experimental
1408,University of Chicago,Physics,Nuclear Physics,experimental
1409,"University of Colorado, Boulder",Physics,Nuclear Physics,experimental
1410,University of Connecticut,Physics,Nuclear Physics,experimental
1411,"University of Illinois, Chicago",Physics,Nuclear Physics,experimental
1412,"University of Illinois, Urbana-Champaign",Physics,Nuclear Physics,experimental
1413,University of Iowa,Physics & Astronomy,Nuclear Physics,experimental
1414,University of Kansas,Physics & Astronomy,Nuclear Physics,experimental
1415,"University of Massachusetts, Dartmouth",Physics,Nuclear Physics,experimental
1416,"University of Massachusetts, Lowell",Physics & Applied Physics,Nuclear Physics,experimental
1417,University of Michigan,Applied Physics,Nuclear Physics,experimental
1418,University of New Hampshire,Physics,Nuclear Physics,experimental
1419,"University of North Carolina, Chapel Hill",Physics & Astronomy,Nuclear Physics,experimental
1420,University of Notre Dame,Physics,Nuclear Physics,experimental
1421,University of Rochester,Physics & Astronomy,Nuclear Physics,experimental
1422,University of South Carolina,Physics & Astronomy,Nuclear Physics,experimental
1423,"University of Tennessee, Knoxville",Physics & Astronomy,Nuclear Physics,experimental
1424,University of Virginia,Physics,Nuclear Physics,experimental
1425,University of Washington,Physics,Nuclear Physics,experimental
1426,Vanderbilt University,Physics & Astronomy,Nuclear Physics,experimental
1427,Virginia Commonwealth University,Physics,Nuclear Physics,experimental
1428,Wayne State University,Physics and Astronomy,Nuclear Physics,experimental
1429,Western Michigan University,Physics,Nuclear Physics,experimental
1430,"California State University, Long Beach",Physics & Astronomy,Nuclear Physics,theoretical
1431,Carnegie Mellon University,Physics,Nuclear Physics,theoretical
1432,College of William and Mary,Physics,Nuclear Physics,theoretical
1433,Columbia University,Physics,Nuclear Physics,theoretical
